id,x_coord,y_coord,name
12, 54.8696476, 23.8537641, Juodelynė - guest_house
29, 54.8961352, 23.8881562, Amberton Cozy - hotel
35, 54.8976457, 23.8847043, Kauno arkivyskupijos svečių namai - hostel
36, 54.8979051, 23.8835233, Domus Pacis, pranciškonų svečių namai - hostel
54, 54.8961957, 23.8931905, E. Rudinsko Grafikos galerija - gallery
61, 54.8711941, 23.8968795, Small cozy house - guest_house
62, 54.8968727, 23.9004081, Santaka - hostel
63, 54.8968749, 23.9006525, Best Western Santaka - hotel
89, 54.8978694, 23.9134011, Metropolis - hotel
91, 54.8978044, 23.9071298, Kaunas City - hotel
92, 54.8973380, 23.9090000, Kaunas - hotel
93, 54.8958915, 23.9051230, City Hostel - hostel
117, 54.8984714, 23.9197076, Park Inn by Radisson Kaunas - hotel
120, 54.8978013, 23.9182395, Keturi metų laikai - hostel
121, 54.8948238, 23.9213733, LITiNTERP guest house - hostel
124, 54.8974440, 23.9165793, The Monks Bunk - hostel
134, 54.9025761, 23.9154844, Centre Hotel - hotel
145, 54.9165966, 23.9215868, Kambarių nuoma - motel
146, 54.9326762, 23.9173260, Sandija - motel
147, 54.8539009, 23.9319389, Unknown - picnic_site
152, 54.8895954, 23.9271396, ibis Kaunas Centre - hotel
153, 54.8893742, 23.9265202, Magnus - hotel
155, 54.8887620, 23.9283099, Pirklio svečių namai - guest_house
166, 54.8960755, 23.9247894, R Hostel - hostel
203, 54.9152263, 23.9444389, Svečių namai Agota - hostel
205, 54.9486000, 23.9504000, Unknown - picnic_site
206, 54.9415199, 23.9476096, Kleboniškio poilsiavietė - picnic_site
207, 54.9506304, 23.9507341, Naujasodis - picnic_site
216, 54.9401571, 23.9553612, Kleboniškio miško parko poilsiavietė - picnic_site
217, 54.9403589, 23.9631101, Unknown - picnic_site
223, 54.9272196, 23.9710494, Hermis - hotel
225, 54.9349166, 23.9675278, Tėvynė - motel
226, 54.9430998, 23.9668465, Unknown - picnic_site
227, 54.9418457, 23.9645881, Unknown - picnic_site
236, 54.8926754, 24.0002907, Gotlitas - hostel
243, 54.8560995, 24.0203942, Poilsiavietė prie Kauno marių - picnic_site
251, 54.8762363, 24.0209775, Monte Pacis - hotel
252, 54.8861352, 24.0222520, Baltosios burės - motel
261, 54.8580342, 24.0401987, Poilsiavietė „Berželis“ - picnic_site
