id,x_coord,y_coord,name
7, 54.8939390, 23.8354630, VDU Žemės ūkio akademijos muziejus - museum
9, 54.9139413, 23.8421058, Atominis bunkeris - museum
11, 54.9112510, 23.8505360, A. Astrausko ortopedijos amato muziejus - museum
27, 54.8779682, 23.8904064, Lietuvos aviacijos muziejus - museum
28, 54.8874877, 23.8900709, Lietuvos istorinių transporto priemonių muziejus - museum
37, 54.8967573, 23.8859219, Keramikos muziejus - museum
38, 54.8950799, 23.8861388, J. Tumo-Vaižganto memorialinis butas - muziejus - museum
39, 54.8988617, 23.8853749, Kauno pilies muziejus - museum
41, 54.8963390, 23.8854240, Juozo Tumo-Vaižganto memorialinis muziejus - museum
42, 54.8976320, 23.8885790, Kauno arkivyskupijos muziejus. Kardinolo V. Sladkevičiaus memorialinis butas-muziejus - museum
43, 54.8960030, 23.8931526, Brangakmenių (Gemologijos) muziejus - museum
66, 54.8967816, 23.8947853, Kauno arkivyskupijos muziejus - museum
90, 54.9002641, 23.9120190, Nacionalinis M. K. Čiurlionio dailės muziejus - museum
94, 54.8984466, 23.9134425, Prezidento Valdo Adamkaus biblioteka-muziejus - museum
97, 54.8988980, 23.9092950, Lietuvos banko ir pinigų istorijos ekspozicija Kaune - museum
98, 54.8970850, 23.9073560, Kauno lėlių teatro muziejus - museum
99, 54.8988860, 23.9125480, Kauno technologijos universiteto muziejus - museum
104, 54.8999551, 23.9120007, Vytauto Didžiojo karo muziejus - museum
105, 54.9008731, 23.9107391, A. Žmuidzinavičiaus kūrinių ir rinkinių muziejus - museum
106, 54.9008806, 23.9105648, Velnių muziejus - museum
122, 54.8973140, 23.9193520, Lietuvos šaulių sąjungos muziejus - museum
123, 54.8991580, 23.9150600, S. ir S. Lozoraičių muziejus - museum
125, 54.8925873, 23.9212899, Visuomeninis Tarptautinės policijos asociacijos Lietuvos skyriaus Kauno poskyrio muziejus - museum
154, 54.8896468, 23.9317098, Stumbro muziejus - museum
164, 54.8926339, 23.9330585, Sugiharos Namai - museum
165, 54.8947913, 23.9254296, Lietuvos švietimo istorijos muziejus - museum
179, 54.9099650, 23.9263140, Juozo Grušo memorialinis muziejus - museum
180, 54.9156730, 23.9261720, Kauno tvirtovės VII fortas - museum
198, 54.8709307, 23.9465200, Klounų muziejus - museum
249, 54.8763110, 24.0223190, Pažaislio vienuolyno muziejinė ekspozicija - museum
