id,x_coord,y_coord,name
2, 54.9352850, 23.7611961, Triratis - artwork
19, 54.8988149, 23.8814728, Gyra - artwork
20, 54.8986209, 23.8801233, Žmogus-kankorėžis - artwork
21, 54.9087545, 23.8790309, Arklio paminklas - artwork
25, 54.9218897, 23.8745514, Vienaragis - artwork
26, 54.9224941, 23.8754477, M. Račkis paminklas - artwork
32, 54.8970874, 23.8854029, Šunys - artwork
33, 54.8994339, 23.8865358, Kanklininkas - artwork
34, 54.8958910, 23.8881301, Paminklas rutinai - artwork
40, 54.8974273, 23.8895980, Kosmoso ežiukas - artwork
44, 54.8948037, 23.8892096, Lietuva - artwork
45, 54.8988735, 23.8931424, Be pavadinimo - artwork
46, 54.8955949, 23.8879165, Meno buitis - artwork
47, 54.9002949, 23.8893857, Senelis išminčius - artwork
49, 54.8951000, 23.8877182, Tekantis tunelis - artwork
50, 54.8987120, 23.8863875, Jaunuolis - artwork
51, 54.8920458, 23.8904584, Langai - artwork
52, 54.8973238, 23.8903813, Piršto atspaudas - artwork
53, 54.8988169, 23.8873994, Sugrįžau namo - artwork
55, 54.8970882, 23.8863045, Laimės šulinys - artwork
56, 54.9002949, 23.8893857, Senelis išminčius - artwork
57, 54.9093480, 23.8926616, Takas namo - artwork
58, 54.9064315, 23.8894004, Degantys akmenys - artwork
60, 54.9506385, 23.8893884, Unknown - artwork
64, 54.8979853, 23.9025842, Žinia - artwork
67, 54.8964452, 23.8977928, Princesė ant žirgo - artwork
68, 54.8970279, 23.8974159, Unknown - artwork
69, 54.8953608, 23.8988343, Kvadratas - artwork
70, 54.8975622, 23.8947129, Unknown - artwork
71, 54.8970243, 23.8983450, Nežiopsok! - artwork
72, 54.8966030, 23.8958103, Zen triušis - artwork
73, 54.8991144, 23.9006278, Unknown - artwork
76, 54.8699051, 23.9094360, Unknown - artwork
77, 54.8700422, 23.9076520, Unknown - artwork
78, 54.8706961, 23.9089345, Skulptūra - artwork
79, 54.8694955, 23.9068953, Planeta X - artwork
80, 54.8736007, 23.9068593, Skulptūra - artwork
81, 54.8749270, 23.9097865, Skulptūra - artwork
82, 54.8763608, 23.9069351, Unknown - artwork
83, 54.8717994, 23.9048501, Unknown - artwork
84, 54.8719317, 23.9041528, Unknown - artwork
85, 54.8739595, 23.9073603, Unknown - artwork
95, 54.9004954, 23.9113810, Trys karaliai - artwork
96, 54.9004604, 23.9118386, Unknown - artwork
100, 54.8993123, 23.9048598, Kiemo galerija - artwork
101, 54.9000490, 23.9080140, Rožinis dramblys - artwork
102, 54.8996203, 23.9106644, Žvaigždžių sėjėjas - artwork
103, 54.8944073, 23.9052726, Nemuno uogos - artwork
107, 54.9008822, 23.9072167, Kupidonas - artwork
108, 54.9011451, 23.9117632, Kova - artwork
109, 54.9008652, 23.9119203, Šeima - artwork
110, 54.9008342, 23.9117008, Kanklininkas su vaikais - artwork
111, 54.9009888, 23.9117085, Atsisveikinimas - artwork
112, 54.9010083, 23.9117817, Dūdorius - artwork
113, 54.9009294, 23.9118063, Ateitis - artwork
114, 54.9009613, 23.9119373, Motinystė - artwork
115, 54.9148110, 23.9050051, Kiemas - artwork
118, 54.8964985, 23.9218571, Sapnas - artwork
119, 54.8963270, 23.9206476, Žmogus - artwork
128, 54.8954966, 23.9135740, Šviesos nešėjas - artwork
129, 54.8982900, 23.9145127, Neofreska LRT 90-mečio proga - artwork
130, 54.8959646, 23.9162018, Pozityvus šuo - artwork
131, 54.8960796, 23.9191775, Dovydas - artwork
132, 54.8992970, 23.9168641, Šiuolaikinės damos - artwork
133, 54.9006834, 23.9153043, Troba - artwork
136, 54.9018062, 23.9150671, Unknown - artwork
137, 54.9087365, 23.9167994, Sembernarė Bitė - artwork
138, 54.9007165, 23.9178145, Mergaitė su dūdele - artwork
139, 54.9009061, 23.9143929, Saulės takas - Vartai - artwork
140, 54.9006834, 23.9153043, Troba - artwork
141, 54.9056119, 23.9196181, Labas - artwork
143, 54.9024296, 23.9189745, Unknown - artwork
150, 54.8677249, 23.9302661, Šančių laikai - artwork
151, 54.8805666, 23.9303348, Žiema baigės - artwork
156, 54.8837263, 23.9248774, Ledo deimantas - artwork
160, 54.8805666, 23.9303348, Žiema baigės - artwork
161, 54.8865888, 23.9300737, Dviratininkas su rože - artwork
162, 54.8868766, 23.9327945, Paskutinis keleivis - artwork
163, 54.8814083, 23.9291220, Nemunas - artwork
167, 54.8953943, 23.9248162, Unknown - artwork
168, 54.8992125, 23.9295871, Unknown - artwork
169, 54.8994728, 23.9296410, Pelėdos - artwork
170, 54.8989378, 23.9235811, Freska ant Paveikslų galerijos sienos - artwork
171, 54.8987542, 23.9236927, Kūrėja - artwork
172, 54.8963395, 23.9256036, Galerija Paveikslai.lt - artwork
173, 54.8988850, 23.9246385, Kultūringas Perkūnas - artwork
174, 54.8913966, 23.9251970, Atsisveikinimas - artwork
175, 54.8911021, 23.9285596, Henry Parland - artwork
176, 54.8923066, 23.9290556, Vėlinės, 1956 m. - artwork
177, 54.9033696, 23.9308462, Unknown - artwork
178, 54.9020516, 23.9266034, Unknown - artwork
190, 54.8678185, 23.9420534, Tarybinis reliktas - artwork
191, 54.8718549, 23.9375530, Jis ir ji - artwork
192, 54.8948938, 23.9417402, Unknown - artwork
193, 54.8993380, 23.9406196, Poilsis - artwork
194, 54.8973461, 23.9340041, Tikslo link - artwork
195, 54.9018994, 23.9392965, Sėdintis Vyras - artwork
196, 54.9140724, 23.9369381, Vaikai ir knygos - artwork
197, 54.8700512, 23.9510509, P.S. - artwork
199, 54.9009800, 23.9449056, Stumbras - artwork
200, 54.9027995, 23.9495800, Fauna - artwork
201, 54.9028160, 23.9499569, Unknown - artwork
202, 54.9009221, 23.9455092, Unknown - artwork
204, 54.9110551, 23.9448473, Unknown - artwork
209, 54.9041123, 23.9580005, Perkūnas - artwork
210, 54.9047039, 23.9574682, Unknown - artwork
211, 54.9031698, 23.9590762, Unknown - artwork
212, 54.9015051, 23.9613424, Dadaistinė Mona Liza XXI amžiuje - artwork
213, 54.9129971, 23.9612268, Dialogas - artwork
214, 54.9164474, 23.9627032, Lituanica - artwork
