id,x_coord,y_coord,name
2, 45.4868113, 9.0590396, B&B Expo Milano - hotel
4, 45.4590966, 9.0683096, Hotel Silver - hotel
8, 45.4825293, 9.0910049, Hotel San Siro Fiera - hotel
35, 45.4482767, 9.1187400, Amedia Hotel Milano - hotel
36, 45.5138270, 9.1194771, The Hub Hotel - hotel
46, 45.4435735, 9.1371926, Excel Naviglio Milano - hotel
47, 45.4637189, 9.1386880, Hotel Edy - hotel
49, 45.4645538, 9.1394944, Hotel Emmy - hotel
50, 45.4645331, 9.1395023, Hotel Gambara - hotel
107, 45.5059820, 9.1360381, Hotel Amico - hotel
108, 45.5017272, 9.1388974, Hotel Oregon - hotel
110, 45.4725392, 9.1440243, Best Western Hotel Astoria - hotel
111, 45.4728232, 9.1445199, Hotel Miu - hotel
112, 45.4752081, 9.1447722, Hotel Le Querce - hotel
114, 45.4720229, 9.1479695, Hotel Domenichino - hotel
119, 45.4802093, 9.1495414, Hotel Portello - hotel
120, 45.4791849, 9.1458654, Melià Milano - hotel
121, 45.4787864, 9.1446108, Montebianco Mokinba Hotels - hotel
122, 45.4812971, 9.1441494, Lido Hotel - hotel
123, 45.4806615, 9.1438436, Hotel Oro Blu - hotel
154, 45.4920557, 9.1477207, Hotel Morfeo Milano - hotel
155, 45.4949550, 9.1417879, Hotel Raffaello - hotel
156, 45.4946406, 9.1419987, Best Western Hotel Mirage - hotel
157, 45.4933440, 9.1436417, Bel Sit - hotel
158, 45.4936766, 9.1440952, Hotel Accursio - hotel
162, 45.4949879, 9.1440039, Hotel Sorrento - hotel
163, 45.5006951, 9.1443732, Radisson Blu Hotel - hotel
164, 45.5002873, 9.1425149, Milan Suite Hotel - hotel
169, 45.4502429, 9.1606212, nhow Milano - hotel
172, 45.4549549, 9.1537357, Hotel des Etrangers - hotel
173, 45.4662081, 9.1587534, Hotel Capitol - hotel
174, 45.4637703, 9.1539053, Amalfi - hotel
179, 45.4666344, 9.1568086, Hotel Metro - hotel
180, 45.4629014, 9.1532129, My Hotel Milano - hotel
181, 45.4708689, 9.1565256, MiniHotel Tiziano - hotel
185, 45.4684379, 9.1550231, Hotel Wagner - hotel
186, 45.4748119, 9.1511430, Hotel Campion - hotel
187, 45.4752966, 9.1532864, Hotel Fiera Congressi - hotel
189, 45.4675038, 9.1537654, Hotel Fiorella - hotel
191, 45.4847319, 9.1596511, Hotel Nasco - hotel
199, 45.4824199, 9.1527481, NH Collection Milano CityLife - hotel
200, 45.4867899, 9.1573812, Enterprise Hotel - hotel
201, 45.4897311, 9.1549824, Regency Hotel - hotel
202, 45.4904124, 9.1528075, Hotel Berlino - hotel
208, 45.4370813, 9.1643907, Plus Welcome Milano - hotel
209, 45.4501686, 9.1697655, Art Hotel Navigli - hotel
210, 45.4564997, 9.1685672, Mercure Milano Solari - hotel
213, 45.4538536, 9.1708286, Hotel Minerva - hotel
214, 45.4525437, 9.1670327, Hotel Magna Pars - hotel
217, 45.4552723, 9.1676280, Savona 18 Suites - hotel
221, 45.4602395, 9.1658179, Hotel SantAmbroeus - hotel
229, 45.4628112, 9.1695565, B&B Hotel Milano SantAmbrogio - hotel
232, 45.4657555, 9.1691020, Antica Locanda Leonardo - hotel
235, 45.4640399, 9.1633514, Hotel Panizza - hotel
243, 45.4759959, 9.1663323, Lancaster Hotel - hotel
258, 45.4846785, 9.1624289, Hotel Losanna - hotel
259, 45.4855142, 9.1641205, Unahotels Scandinavia - hotel
260, 45.4856640, 9.1612625, Piccolo Hotel - hotel
263, 45.4831325, 9.1673605, Hotel Mignon - hotel
264, 45.4847103, 9.1627264, Parma Hotel - hotel
296, 45.4905702, 9.1619042, Hotel Boutique Duomo - hotel
297, 45.4917873, 9.1664871, Hotel Bogart 2 - hotel
298, 45.4915242, 9.1668917, Hotel Bogart - hotel
299, 45.4911426, 9.1624257, Hotel Corallo - hotel
303, 45.4987906, 9.1661657, Hotel Sunflower - hotel
305, 45.5025567, 9.1618637, Hotel Valganna - hotel
313, 45.5023395, 9.1620398, Hotel Bovisa - hotel
318, 45.4366739, 9.1718160, Hotel Dei Fiori - hotel
320, 45.4282643, 9.1770313, Hotel Giardino - hotel
