id,x_coord,y_coord,name
1, 38.6993709, -9.2292158, Agência de Viagens Abreu - information
5, 38.7043795, -9.2209773, TB.299 - information
6, 38.7046767, -9.2208578, TB.298 - information
7, 38.7038362, -9.2206664, TB.300 - information
8, 38.7028793, -9.2200728, TB.301 - information
14, 38.6919367, -9.2151838, Réplica da Torre de Belém - information
20, 38.6924403, -9.2144912, Tickets - information
22, 38.6958464, -9.2101758, Unknown - information
26, 38.7092460, -9.2159069, TB.293 - information
27, 38.7088580, -9.2159139, TB.294 - information
28, 38.7076715, -9.2185178, TB.295 - information
29, 38.7053057, -9.2194840, TB.297 - information
30, 38.7067130, -9.2186965, TB.296 - information
31, 38.7090072, -9.2195019, TB.453 - information
32, 38.7168581, -9.2099520, TB.440 - information
33, 38.7169279, -9.2104513, TB.441 - information
34, 38.7158381, -9.2121787, TB.442 - information
35, 38.7154575, -9.2126855, TB.443 - information
36, 38.7147539, -9.2132447, TB.444 - information
37, 38.7139611, -9.2144415, TB.445 - information
38, 38.7124944, -9.2146937, TB.446 - information
39, 38.7124808, -9.2152089, TB.447 - information
40, 38.7138305, -9.2170982, TB.448 - information
41, 38.7137192, -9.2169458, TB.320 - information
42, 38.7124320, -9.2159667, TB.321 - information
43, 38.7123704, -9.2155868, TB.291 - information
44, 38.7115401, -9.2155213, Alto do Duque - information
45, 38.7114187, -9.2153694, TB.292 - information
46, 38.7145781, -9.2186286, TB.319 - information
47, 38.7125912, -9.2190664, TB.450 - information
48, 38.7133576, -9.2181551, TB.449 - information
56, 38.6966452, -9.2022294, PR1 LSB Rota da Biodiversidade - information
57, 38.6969946, -9.2054578, Ask me Lisboa - information
73, 38.6974396, -9.2059588, Unknown - information
75, 38.6971283, -9.2070342, Unknown - information
81, 38.7165441, -9.2065992, Pista Encosta Montes Claros - information
84, 38.7190139, -9.2071064, Pista BTT - information
85, 38.7164450, -9.2048793, Pista Encosta Montes Claros - information
86, 38.7161995, -9.2049086, Pista Encosta Montes Claros - information
87, 38.7164325, -9.2028638, Pista Encosta Montes Claros - information
88, 38.7276164, -9.2011648, Encosta do Outeiro - information
90, 38.7245759, -9.2077526, Lisboa Camping - information
91, 38.7289691, -9.2014419, Moinhos do Mocho - information
92, 38.7254255, -9.2082341, Campismo - Chaminés dEl Rei - information
93, 38.7354512, -9.2002007, Pista Encosta de Monsanto - information
94, 38.7354384, -9.2000018, Pista Vila Guiné - information
95, 38.7397605, -9.2002237, Pista Caminho da Água - information
96, 38.7379487, -9.2002539, Pista Caminho da Água - information
97, 38.7455556, -9.2055796, Jardim da Cortiçada - information
98, 38.7505548, -9.2009919, Chafariz de Benfica - information
99, 38.7503707, -9.2007529, Palácio Baldaya - information
100, 38.7509742, -9.2020858, Igreja Paroquial de Nossa Senhora do Amparo - information
101, 38.7491388, -9.2035556, Parque Silva Porto - information
102, 38.7477913, -9.2046140, Parque Silva Porto - information
103, 38.7499827, -9.2062309, Clube de Futebol de Benfica - information
104, 38.7505469, -9.2063692, Mercado de Benfica - information
105, 38.7570948, -9.2020366, Cemitério de Benfica - information
106, 38.7515690, -9.2038507, Vila Ana e Vila Ventura - information
107, 38.7531002, -9.2088882, Portas de Benfica - information
108, 38.7516320, -9.2045068, Estrada de Benfica - information
109, 38.7599210, -9.2045912, Unknown - information
110, 38.7607536, -9.2044610, Unknown - information
111, 38.7606590, -9.2046593, Unknown - information
112, 38.7599224, -9.2042384, Unknown - information
123, 38.7192506, -9.1985892, Pedreira dos Catos - information
124, 38.7196846, -9.1981667, Pista Cactolândia - information
128, 38.7207831, -9.1946889, Anfiteatro Keil do Amaral - information
129, 38.7205392, -9.1950375, Pista Casal do Cano - information
130, 38.7181458, -9.1985190, Área Recreativa Keil do Amaral - information
131, 38.7161283, -9.1985679, Pista Casal do Cano - information
132, 38.7189891, -9.1928358, Pista da Mina - information
134, 38.7140683, -9.1959898, Unknown - information
135, 38.7150560, -9.1956530, Parque de Merendas Europa - information
136, 38.7183281, -9.1987522, Pista Keil do Amaral - information
137, 38.7203163, -9.1951502, Unknown - information
138, 38.7273408, -9.1943217, Circuito de Manutenção Monte Verde - information
139, 38.7274351, -9.1942774, Área Recreativa Alto da Serra - information
140, 38.7291630, -9.1965820, Circuito de Manutenção do Monte Verde - information
141, 38.7242553, -9.1993582, Pista Ponte Nº 2 - information
142, 38.7289583, -9.1977066, Pista Ilha Amarela - information
143, 38.7262624, -9.1953062, Pista da Calceteira - information
144, 38.7214653, -9.1903849, PI 9 Alameda Keil Amaral - information
147, 38.7294688, -9.1978503, Pista Monte Verde - information
148, 38.7289345, -9.1991647, Pista Ilha Amarela - information
149, 38.7273741, -9.1942483, Pista Monte Verde - information
150, 38.7242846, -9.1932355, Pista Miguel das Águas - information
151, 38.7226625, -9.1992866, Pista da Cordoaria - information
152, 38.7260768, -9.1956044, Pista Alto da Vinha - information
153, 38.7216557, -9.1901587, Skate Park Monsanto - information
154, 38.7216997, -9.1908225, Keil do Amaral - Pinhal Canárias - information
155, 38.7255866, -9.1943389, Cruz das Oliveiras - information
156, 38.7316462, -9.1897454, Centro de Comunicações de Dados e de Cifra da Marinha - Pólo Monsanto - information
157, 38.7215213, -9.1963808, Moinho do Penedo - information
158, 38.7216892, -9.1962339, Moinho do Penedo - information
159, 38.7233010, -9.1991535, Pista Alto da Vinha - information
160, 38.7388034, -9.1991327, Unknown - information
161, 38.7410065, -9.1984682, Pista caminho da Água - information
162, 38.7336829, -9.1996275, Pista Encosta das Lunetas - information
164, 38.7314625, -9.1982494, Pista Encosta Monsanto - information
165, 38.7508065, -9.1926167, Geomonumento da Quinta da Granja - information
166, 38.7451256, -9.1900318, Benfica footsteps - Circuito Monsanto - information
167, 38.7416350, -9.1967918, Pista Caminho da Água - information
168, 38.7430517, -9.1923834, Monsanto - Acesso Norte - Benfica - information
169, 38.7423167, -9.1957173, Quinta da Fonte - information
170, 38.7420935, -9.1961311, Monsanto - Acesso Norte - Pina Manique - information
172, 38.7432323, -9.1927049, Todos a Galope - information
173, 38.7513913, -9.1996014, Travessa do Açougue - information
174, 38.7489791, -9.1975413, Fábrica Simões & C.ª Lda. (Malhas e Confeções) - information
175, 38.7486286, -9.1975756, Edifício da Junta de Freguesia - information
176, 38.7419253, -9.1941217, Pista Caminho da Água - information
178, 38.7548701, -9.1932970, Quinta da Granja (N) - information
179, 38.7519825, -9.1910947, Parque Fitness Quinta da Granja - information
183, 38.7690663, -9.1978483, Unknown - information
187, 38.7743197, -9.1965320, Unknown - information
189, 38.7042958, -9.1849938, PI 5 Av Avelar Brotero - information
191, 38.7022140, -9.1829342, PI 4 Capela Alto de Santo Amaro - information
197, 38.7185265, -9.1881630, Pista Cozinha Velha - information
198, 38.7197570, -9.1857560, Parque Recreativo do Alvito - information
199, 38.7184394, -9.1882421, PI 8 - information
204, 38.7250183, -9.1798549, Pista da A5 - information
205, 38.7230975, -9.1880018, Pista Miguel das Águas - information
206, 38.7229640, -9.1878578, Mapa do Percurso Keil do Amaral - information
207, 38.7251646, -9.1800198, Pista Encosta da Serra - information
208, 38.7273632, -9.1881061, Pista dos Oregãos - information
209, 38.7227135, -9.1859315, Parque de Merendas do Miradouro da Escarpa - information
210, 38.7231090, -9.1858591, Casa dos Animais de Lisboa - information
211, 38.7229814, -9.1861810, Casa dos Animais de Lisboa - information
212, 38.7228825, -9.1866604, Casa dos Animais de Lisboa - information
213, 38.7230386, -9.1881825, Pista Keil do Amaral - information
214, 38.7237440, -9.1852085, Estrada do Alvito - information
215, 38.7316462, -9.1897454, Centro de Comunicações de Dados e de Cifra da Marinha - Pólo Monsanto - information
217, 38.7373442, -9.1862419, Monte das Perdizes - information
218, 38.7374188, -9.1811733, Pista do Aqueduto - information
219, 38.7407988, -9.1867573, Centro Interpretação de Monsanto - information
220, 38.7393626, -9.1864270, Centro de Interpretação de Monsanto - information
221, 38.7406061, -9.1865650, Centro Interpretação de Monsanto - information
222, 38.7393476, -9.1861387, Centro Interpretação de Monsanto - information
223, 38.7360084, -9.1802543, Parque Recreativo do Alto da Serafina - information
224, 38.7367552, -9.1829006, Pista Rua Fria - information
226, 38.7396208, -9.1866000, Centro de Interpretação de Monsanto - information
227, 38.7358988, -9.1798382, Parque Recreativo da Serafina - information
228, 38.7399990, -9.1866484, Wifi - information
229, 38.7401376, -9.1865652, Centro de Interpretação de Monsanto - information
231, 38.7316462, -9.1897454, Centro de Comunicações de Dados e de Cifra da Marinha - Pólo Monsanto - information
232, 38.7360990, -9.1835225, Estrada do Barcal - information
234, 38.7421620, -9.1841517, Mata São Domingos de Benfica - information
236, 38.7437700, -9.1861656, Mata São Domingos de Benfica - information
238, 38.7414757, -9.1886892, Pista Mata de São Domingos - information
239, 38.7428740, -9.1828765, Benfica / Quinta da Granja / Pina Manique - information
240, 38.7438663, -9.1897181, Monsanto - Acesso Norte - Benfica - information
241, 38.7425221, -9.1820510, Benfica / Quinta da Granja - information
261, 38.7298820, -9.1779636, Pista Pedreira Serafina - information
265, 38.7367077, -9.1792974, Encosta da Serafina - information
266, 38.7383369, -9.1762291, Parque Recreativo do Calhau - information
267, 38.7389847, -9.1773144, Parque Recreativo do Calhau - information
268, 38.7380470, -9.1766884, Circuito de Manutenção do Parque do Calhau - information
269, 38.7369196, -9.1733575, Moinho das 3 Cruzes - information
270, 38.7371891, -9.1780517, Circuito de Manutenção do Calhau - information
271, 38.7360453, -9.1728000, Monsanto - Acesso Este - Campolide - information
272, 38.7362371, -9.1723952, Monsanto - Acesso Este - Campolide - information
273, 38.7329718, -9.1794312, Pista Mário das Ovelhas - information
274, 38.7365160, -9.1725772, Monsanto - Acesso Este - Campolide - information
276, 38.7338344, -9.1726502, Aqueduto das Águas Livres - information
277, 38.7343323, -9.1795576, Pista Mário das Ovelhas - information
278, 38.7344380, -9.1787600, Parque Recreativo do Alto da Serafina - information
279, 38.7346245, -9.1788968, Parque Urbano Alto da Serafina - information
280, 38.7347256, -9.1789492, Parque Recreativo da Serafina - information
281, 38.7338655, -9.1726895, Pista do Aqueduto - information
282, 38.7314927, -9.1776174, Parque da Pedra - information
283, 38.7325388, -9.1790520, Parque da Pedra - information
284, 38.7359206, -9.1757557, Pista do Aqueduto - information
289, 38.7350526, -9.1764969, Parque Recreativo do Calhau - information
293, 38.7360464, -9.1728310, Volta do Planalto - information
294, 38.7327328, -9.1793044, Parque Recreativo do Alto da Serafina - information
303, 38.7428850, -9.1734445, Chafariz de Santo António da Convalescença - information
353, 38.7858998, -9.1720237, Unknown - information
354, 38.7859439, -9.1718533, Unknown - information
355, 38.7853542, -9.1716065, Unknown - information
356, 38.7853099, -9.1717776, Unknown - information
357, 38.7856850, -9.1717450, Unknown - information
358, 38.7855709, -9.1718865, Unknown - information
359, 38.7855384, -9.1716897, Unknown - information
360, 38.7854967, -9.1718511, Unknown - information
361, 38.7857185, -9.1719410, Unknown - information
362, 38.7857599, -9.1717803, Unknown - information
363, 38.7855495, -9.1716050, Unknown - information
364, 38.7854671, -9.1719239, Unknown - information
365, 38.7857900, -9.1717082, Unknown - information
366, 38.7857081, -9.1720258, Unknown - information
371, 38.7068276, -9.1673860, Geomonumento da Av. Infante Santo - information
384, 38.7161500, -9.1696885, Geomonumento da Rua Sampaio Bruno - information
415, 38.7427349, -9.1682776, Jardim Zoológico de Lisboa - information
429, 38.7599382, -9.1662912, Unknown - information
430, 38.7599732, -9.1665569, Unknown - information
501, 38.7260015, -9.1513830, Cityrama - information
503, 38.7313780, -9.1553280, Jardim Amália Rodrigues - information
522, 38.7247147, -9.1502221, Unknown - information
523, 38.7247192, -9.1502333, Unknown - information
524, 38.7247686, -9.1503560, Unknown - information
525, 38.7247734, -9.1503680, Unknown - information
526, 38.7248633, -9.1502894, Unknown - information
527, 38.7248681, -9.1503013, Unknown - information
528, 38.7248107, -9.1501592, Unknown - information
529, 38.7248152, -9.1501704, Unknown - information
530, 38.7246064, -9.1502765, Unknown - information
531, 38.7245981, -9.1502819, Unknown - information
532, 38.7246672, -9.1504541, Unknown - information
533, 38.7246755, -9.1504487, Unknown - information
534, 38.7249169, -9.1500726, Unknown - information
535, 38.7249086, -9.1500781, Unknown - information
536, 38.7249783, -9.1502497, Unknown - information
537, 38.7249866, -9.1502443, Unknown - information
575, 38.7324996, -9.1547232, Jardim Amália Rodrigues - information
585, 38.7482720, -9.1532534, Unknown - information
586, 38.7486629, -9.1539683, Unknown - information
587, 38.7488771, -9.1535852, Unknown - information
588, 38.7487874, -9.1549857, Unknown - information
589, 38.7492562, -9.1543270, Unknown - information
590, 38.7493884, -9.1533033, Unknown - information
610, 38.7629932, -9.1514433, Geomonumento da Quinta do Lambert - information
611, 38.7698785, -9.1540462, Unknown - information
612, 38.7710996, -9.1590109, Unknown - information
613, 38.7711093, -9.1570107, Unknown - information
614, 38.7691576, -9.1564722, Unknown - information
615, 38.7711067, -9.1539940, Unknown - information
616, 38.7709067, -9.1560716, Unknown - information
617, 38.7670985, -9.1554230, Unknown - information
618, 38.7670829, -9.1555906, Unknown - information
619, 38.7670523, -9.1555003, Unknown - information
620, 38.7670340, -9.1554122, Unknown - information
621, 38.7670183, -9.1555796, Unknown - information
622, 38.7672683, -9.1556470, Unknown - information
623, 38.7672886, -9.1554278, Unknown - information
624, 38.7679563, -9.1555850, Unknown - information
625, 38.7671266, -9.1553959, Unknown - information
626, 38.7672460, -9.1557563, Unknown - information
627, 38.7675816, -9.1555026, Unknown - information
628, 38.7675663, -9.1556694, Unknown - information
629, 38.7679143, -9.1556433, Unknown - information
630, 38.7677470, -9.1556981, Unknown - information
632, 38.7786099, -9.1500024, Parque Oeste / Vale Grande - information
634, 38.7714690, -9.1593789, Unknown - information
635, 38.7715645, -9.1576595, Unknown - information
636, 38.7718364, -9.1591415, Unknown - information
637, 38.7716813, -9.1571995, Unknown - information
642, 38.7107721, -9.1415852, Unknown - information
662, 38.7096200, -9.1462279, The Blue Point - information
665, 38.7058610, -9.1445912, Unknown - information
666, 38.7058601, -9.1445090, Unknown - information
667, 38.7058588, -9.1444259, Unknown - information
670, 38.7111717, -9.1482664, Igreja de Santa Catarina - information
673, 38.7102878, -9.1460853, Tv. Squeiro 16-18 - information
691, 38.7156158, -9.1422564, Unknown - information
708, 38.7127577, -9.1463613, ESN Lisboa - information
720, 38.7162046, -9.1488936, Reservatório da Patriarcal - information
747, 38.7132386, -9.1496734, Museu do Instituto Geológico e Mineiro - information
766, 38.7153620, -9.1408083, Global Blue Tax Refund - information
772, 38.7150227, -9.1413254, Homenagem da Cidade de Lisboa aos Calceteiros que constroem o chão que pisamos - information
834, 38.7363911, -9.1420950, Unknown - information
857, 38.7431738, -9.1467644, Carris Information - information
858, 38.7480728, -9.1489463, Unknown - information
874, 38.7076922, -9.1377671, ask me Lisboa - information
882, 38.7078486, -9.1353324, Unknown - information
908, 38.7089506, -9.1322183, Luggage Storage We L You - information
913, 38.7092171, -9.1341309, Porta do Mar - information
914, 38.7089917, -9.1331608, Porta do Mar - information
915, 38.7089985, -9.1326991, Casa dos Bicos - information
917, 38.7089924, -9.1313085, Postigo Marquês do Lavradio - information
918, 38.7101276, -9.1298318, Porta de Alfama - information
919, 38.7091002, -9.1309387, Porta do Furadouro - information
920, 38.7089376, -9.1322528, Arco da Conceição - information
921, 38.7101584, -9.1345088, Porta do Ferro - information
931, 38.7065787, -9.1378482, Unknown - information
932, 38.7088124, -9.1335487, Unknown - information
933, 38.7089434, -9.1328170, Unknown - information
934, 38.7097406, -9.1332905, Unknown - information
935, 38.7100039, -9.1339526, Igreja de Santo António de Lisboa - information
938, 38.7130058, -9.1338738, Unknown - information
945, 38.7121997, -9.1328425, Unknown - information
949, 38.7129630, -9.1392413, Unknown - information
992, 38.7139222, -9.1357454, Unknown - information
999, 38.7115763, -9.1336068, Porta da Alfofa - information
1001, 38.7123383, -9.1321698, Rua do Chão da Feira - information
1002, 38.7117355, -9.1299871, Rua Norberto de Araújo - information
1003, 38.7126498, -9.1313335, Pátio Dom Fradique - information
1004, 38.7122909, -9.1302006, Porta do Sol - information
1040, 38.7261307, -9.1315823, Unknown - information
1046, 38.7251161, -9.1363466, VHS Visa Hanling Services Rússia - information
1114, 38.7105534, -9.1293483, Torre de São Pedro - information
1115, 38.7095946, -9.1295517, Porta do Chafariz dEl Rei - information
1116, 38.7102525, -9.1295689, Postigo de São Pedro - information
1119, 38.7169312, -9.1202591, Unknown - information
1120, 38.7148255, -9.1252137, Unknown - information
1172, 38.7472671, -9.1264142, Ecopista Parque da Bela Vista - information
1175, 38.7477532, -9.1291807, Parque Urbano da Quinta da Montanha - information
1183, 38.7195806, -9.1181291, Unknown - information
1196, 38.7426815, -9.1023080, Marvila - information
1197, 38.7527912, -9.1033059, Live love ride - information
1204, 38.7977499, -9.1047417, km 138 - information
1228, 38.7678119, -9.0954943, Unknown - information
1256, 38.7851802, -9.0922110, Caminho de Santiago / Caminho de Fátima - information
